Date,Day,Holiday_name,Type,comments
Jan 01,Friday,New Year's Day,Regional Holiday,Several states
Jan 02,Saturday,New Year Celebration,Regional Holiday,Several states
Jan 04,Monday,Barahimizong,Regional Holiday,Sikkim
Jan 11,Monday,Missionary Day,Regional Holiday,Mizoram
Jan 12,Tuesday,Birthday of Swami Vivekananda,Regional Holiday,West Bengal only.
Jan 13,Wednesday,Bhogi,Regional Holiday,Some states
Jan 14,Thursday,Pongal,Regional Holiday,
Jan 14,Thursday,Sankranti,Regional Holiday,Several states
Jan 15,Friday,Tusu Puja,Regional Holiday,Assam only
Jan 15,Friday,Thiruvalluvar Day,Regional Holiday,"Puducherry, Tamil Nadu"
Jan 16,Saturday,Uzhavar Tirunal,Regional Holiday,Tamil Nadu
Jan 20,Wednesday,Guru Gobind Singh Jayanti,Regional Holiday,Several states
Jan 23,Saturday,Netaji Subhas Chandra Bose Jayanti,Regional Holiday,"Assam, Odisha, Tripura, West Bengal"
Jan 25,Monday,Statehood Day,Regional Holiday,Himachal Pradesh only
Jan 25,Monday,Imoinu Iratpa,Regional Holiday,Manipur
Jan 26,Tuesday,Gann-Ngai,Regional Holiday,Manipur
Jan 28,Thursday,Thaipoosam,Regional Holiday,Several states
Jan 31,Sunday,Me-dam-me-phi,Regional Holiday,Assam
Feb 12,Friday,Sonam Lhosar,Regional Holiday,
Feb 12,Friday,Losar,Regional Holiday,Tibetan New Year
Feb 15,Monday,Lui-Ngai-Ni,Regional Holiday,Manipur
Feb 16,Tuesday,Vasant Panchami,Regional Holiday,Several states
Feb 19,Friday,Chahhtrapati Shivaji Maharaj Jayanti,Regional Holiday,Maharashtra only
Feb 20,Saturday,Mizoram State Day,Regional Holiday,Mizoram
Feb 20,Saturday,Statehood Day,Regional Holiday,Arunachal Pradesh
Feb 26,Friday,Imam Ali's Birthday,Regional Holiday,Uttar Pradesh only
Feb 27,Saturday,Bir Chilarai Divas,Regional Holiday,Assam
Feb 27,Saturday,Bhumchu Festival,Regional Holiday,Sikkim
